Africa Disputed,Western Sahara
Europe,Croatia,Green
Europe,Czechia,Red
Europe,Denmark,Green
Europe,Estonia,Purple
Europe,Finland,Blue
Europe,France,Blue
Europe,Germany,Orange
Europe,Greece,Orange
Europe,Hungary,Orange
Europe,Iceland,Green
Europe,Ireland,Blue
Europe,Italy,Red
Europe,Latvia,Green
Europe,Liechtenstein,Yellow
Europe,Lithuania,Red
Europe,Luxembourg,Green
Europe,Malta,Green
Europe,Moldova,Purple
Europe,Monaco,Purple
Europe,Montenegro,Purple
Europe,Netherlands,Red
Europe,North Macedonia,Red
Europe,Norway,Purple
Europe,Poland,Purple
Europe,Portugal,Purple
Europe,Romania,Red
Europe,San Marino,Yellow
Europe,Serbia,Blue
Europe,Slovakia,Blue
Europe,Slovenia,Yellow
Europe,Spain,Yellow
Europe,Sweden,Red
Europe,Switzerland,Green
Europe,Ukraine,Green
Europe,United Kingdom,Red
North America Denmark,Greenland
North America France,Clipperton Island
North America France,Guadeloupe
North America France,Martinique
North America France,Saint Barthelemy
North America France,Saint Martin
North America France,Saint Pierre and Miquelon
North America Netherlands,Saba
North America Netherlands,Aruba
North America Netherlands,Bonaire
North America Netherlands,Curacao
North America Netherlands,Sint Eustatius
North America Netherlands,Sint Maarten
North America UK,Anguilla
North America UK,Bermuda
North America UK,British Virgin Islands
North America UK,Cayman Islands
North America UK,Montserrat
North America UK,Turks and Caicos Islands
North America US,Navassa Island
North America US,Puerto Rico
North America US,United States Virgin Islands
North America,Antigua and Barbuda
North America,Bahamas
North America,Barbados
North America,Belize
North America,Canada
North America,Costa Rica
North America,Cuba
North America,Dominica
North America,Dominican Republic
North America,El Salvador
North America,Grenada
North America,Guatemala
North America,Haiti
North America,Honduras
North America,Jamaica
North America,Mexico
North America,Nicaragua
North America,Panama
North America,Saint Kitts and Nevis
North America,Saint Lucia
North America,Saint Vincent and the Grenadines
North America,Trinidad and Tobago
North America,United States of America
Oceania Australia,Norfolk Island
Oceania France,French Polynesia
Oceania France,New Caledonia
Oceania France,Wallis and Futuna
Oceania NZ,Cook Islands
Oceania NZ,Niue
Oceania NZ,Tokelau
Oceania UK,Pitcairn Islands
Oceania US,American Samoa
Oceania US,Guam
Oceania US,Northern Mariana Islands
Oceania,Australia
Oceania,Fiji
Oceania,Kiribati
Oceania,Marshall Islands
Oceania,Micronesia
Oceania,Nauru
Oceania,New Zealand
Oceania,Palau
Oceania,Papua New Guinea
Oceania,Samoa
Oceania,Solomon Islands
Oceania,Tonga
Oceania,Tuvalu
Oceania,Vanuatu
South America France,French Guiana
South America UK,Falkland Islands (Malvinas)
South America,Argentina
South America,Bolivia
South America,Brazil
South America,Chile
South America,Colombia
South America,Ecuador
South America,Guyana
South America,Paraguay
South America,Peru
South America,Suriname
South America,Uruguay
South America,Venezuela
